"cuenta";"descripcion";"cuentaesp"
"715100014";"ASEO URBANO";""
"715100015";"PALERIA Y FOTOCOPIADO";""
"715100016";"ASEO Y LIMPIEZA";""
"715100017";"PASAJES LOCALES Y EXT.DEDUCIBLES";""
"715100018";"PASAJE EXTERIOR NO DEDUCIBLE";""
"715100019";"VIATICOS DEDUCIBLES";""
"715100020";"VIATICOS NO DEDUCIBLES";""
"715100021";"GASTOS DE REPRESENTACION";""
"715100022";"HOSPEDAJE";""
"715100023";"EQUIPOS Y EVENTOS DEPORTIVOS";""
"715100024";"CONVENSION DE COMERCIALIZACION";""
"715100025";"OTROS GASTOS";""
"715100026";"ARRENDAMIENTO";""
"715100027";"AVERIAS-PRODUCTOS";""
"715100028";"AJUSTE DE INVENTARIOS DONADOS";""
"715100029";"AJUSTE DE INVENTARIOS OBSOLETOS";""
"715100030";"TRAMITES DE SOLVENCIAS";""
"715100031";"CONDOMINIOS";""
"715100032";"FLETES Y TRANSPORTES";""
"715100033";"ESTACIONAMINETO";""
"715100035";"TRAMITES LEGALES";""
"715100036";"GASTOS DE SISTEMAS";""
"715100037";"DERECHO DE FRENTE";""
"715100039";"COMIDAS, VIAJES Y TRASLADOS";""
"715100040";"COMBUSTIBLES";""
"715100041";"GASTOS DE ISR";""
"715100042";"REPAROS";""
"715100043";"SEGUROS";""
"715100044";"PARTIDAS NO DEDUCIBLES";""
"715100045";"SERVICIOS CONTRATADOS A TERCEROS";""
"715100046";"BONIFICACION UNICA ESPECIAL";""
"715100047";"SERVICIOS DE PUBLICIDAD";""
"715100048";"REMANENTES DISTRIBUIBLES";""
"715100049";"ASIMILABLES A SALARIOS";""
"716";"DEPRECIACION Y AMORTIZACION";""
"7161";"DEPRECIACION";""
"716100002";"INMUEBLES";""
"716100003";"MAQUINARIAS Y EQUIPOS";""
"716100004";"VEHICULOS";""
"716100005";"MUEBLES Y ENSERES";""
"716100006";"LICENCIA Y SOFTWARE";""
"716100007";"MEJORAS A PROPIEDAD";""
"7162";"AMORTIZACION";""
"716200001";"SEGUROS";""
"9";"OTROS INGRESOS (EGRESOS)";""
"91";"EGRESOS";""
"911";"GASTOS FINANCIEROS";""
"9111";"GASTOS FINANCIEROS";""
"911100001";"INTERESES BANCOS NACIONALES";"GTORF"
"911100002";"COMISIONES Y GASTOS BANCARIOS";"GTOBAN"
"911100003";"COMISIONES TICKET DE ALIMENTACION";""
"911100004";"INTERESES POR FINANCIAMIENTOS";""
"911100099";"OTROS EGRESOS";""
"9113";"OTROS EGRESOS";""
"911300002";"INTERESES S/PRESTACIONES SOCIALES";""
"911300003";"PERDIDAS EN VENTAS ACTIVOS FIJOS";""
"911300004";"PERDIDAS EN INVERSIONES DE BONOS P.";""
"911300005";"PERDIDAS EN VENTAS DE INVERSIONES";""
"911300006";"PERDIDAS EN DIFERENCIAL CAMBIARIO";""
"911300007";"AJUSTE DE ANOS ANTERIORES";""
"911300010";"PERDIDA POR ROBO DE INVENTARIO";""
"911300012";"FLUCTUACION CAMBIARIA NO REALIZADAS";""
"9114";"EGRESOS NO GRAVABLES";""
"911400001";"IMPUESTOS A LAS TRANSACIONES FINANCIERAS";""
"92";"OTROS INGRESOS";""
"921";"OTROS INGRESOS";""
"9211";"INGRESOS FINANCIEROS";""
"921100001";"INTERESES DE BANCOS NACIONALES";""
"921100002";"INTERESES DE BANCOS EXTRANJEROS";""
"921100003";"OTROS INGRESOS FINANCIEROS";""
"9212";"OTROS INGRESOS";""
"921200001";"GANANCIAS EN VENTAS DE ACTIVOS FIJOS";""
"921200002";"GANANCIAS EN VENTAS DE INVERSIONES";""
"921200003";"GANANCIAS EN DIFERENCIAL CAMBIARIO";""
"921200004";"INTERESES VARIOS";""
"921200005";"OTROS INGRESOS";""
